frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
103,3.4429,Midnight 00:00,0.1,1,-0.82724,-0.07498,2.69353,0.69353,-0.82724,-1.07498,3.13159,-0.00344,0.10746,600.0,5.043
104,3.4763,Midnight 00:00,0.1,1,-0.82714,-0.09163,2.6932,0.6932,-0.82714,-1.09163,3.12989,-0.00417,0.10662,600.0,5.054
105,3.5097,Midnight 00:00,0.1,1,-0.79552,-0.10002,2.58869,0.58869,-0.79552,-1.10002,3.14643,0.00337,-0.09495,625.0,5.04
106,3.5432,Midnight 00:00,0.1,1,-0.82696,-0.1166,2.69261,0.69261,-0.82696,-1.1166,3.12747,-0.00522,0.10512,600.0,5.057
107,3.5766,Midnight 00:00,0.1,1,-0.82683,-0.13323,2.69216,0.69216,-0.82683,-1.13323,3.12593,-0.00589,0.10398,600.0,5.056
108,3.61,Midnight 00:00,0.1,1,-0.82659,-0.15817,2.69139,0.69139,-0.82659,-1.15817,3.12376,-0.00685,0.10208,600.0,5.069
109,3.6435,Midnight 00:00,0.1,1,-0.79527,-0.16413,2.59377,0.59377,-0.79527,-1.16413,-3.06603,-0.00697,0.16216,612.5,5.06
110,3.6769,Midnight 00:00,0.1,1,-0.79527,-0.16413,2.59377,0.59377,-0.79527,-1.16413,-3.06603,-0.00697,0.16216,612.5,5.06
111,3.7103,Midnight 00:00,0.1,1,-0.82634,-0.18308,2.69054,0.69054,-0.82634,-1.18308,3.12175,-0.00774,0.09999,600.0,5.074
112,3.7437,Midnight 00:00,0.1,1,-0.82615,-0.19968,2.68993,0.68993,-0.82615,-1.19968,3.12051,-0.0083,0.09852,600.0,5.075
113,3.7772,Midnight 00:00,0.1,1,-0.79605,-0.20419,2.59044,0.59044,-0.79605,-1.20419,3.15271,0.00669,-0.0923,625.0,5.066
114,3.8106,Midnight 00:00,0.1,1,-0.82566,-0.24112,2.68829,0.68829,-0.82566,-1.24112,3.11772,-0.00957,0.0946,600.0,5.073
115,3.844,Midnight 00:00,0.1,1,-0.79634,-0.24432,2.5914,0.5914,-0.79634,-1.24432,3.15499,0.00788,-0.09081,625.0,5.076
116,3.8774,Midnight 00:00,0.1,1,-0.79634,-0.24432,2.5914,0.5914,-0.79634,-1.24432,3.15499,0.00788,-0.09081,625.0,5.076
117,3.9109,Midnight 00:00,0.1,1,-0.82535,-0.26596,2.68726,0.68726,-0.82535,-1.26596,3.11626,-0.01025,0.09215,600.0,5.093
118,3.9443,Midnight 00:00,0.1,1,-0.79654,-0.26841,2.59204,0.59204,-0.79654,-1.26841,3.1563,0.00857,-0.0898,625.0,5.073
119,3.9777,Midnight 00:00,0.1,1,-0.82503,-0.29078,2.6862,0.6862,-0.82503,-1.29078,3.11496,-0.01087,0.08966,600.0,5.095
120,4.0111,Midnight 00:00,0.1,1,-0.83059,-0.30978,2.71048,0.71048,-0.83059,-1.30978,-3.06158,-0.00169,-0.02433,588.0,5.091
121,4.0446,Midnight 00:00,0.1,1,-0.79689,-0.30862,2.59322,0.59322,-0.79689,-1.30862,3.15841,0.00965,-0.08795,625.0,5.087
