frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
142,4.7598,Twilight 19:00,3.0,1,-0.84821,-0.048,2.66102,0.66102,-0.84821,-1.048,3.14207,0.00242,-0.15145,600.0,47.38
143,4.7933,Twilight 19:00,3.0,1,-0.84825,-0.06401,2.66115,0.66115,-0.84825,-1.06401,3.14345,0.00322,-0.15133,600.0,47.371
144,4.8268,Twilight 19:00,3.0,1,-0.88269,-0.07916,2.77048,0.77048,-0.88269,-1.07916,3.14033,-0.00059,0.02015,576.0,47.413
145,4.8603,Twilight 19:00,3.0,1,-0.84834,-0.08802,2.66143,0.66143,-0.84834,-1.08802,3.14551,0.00442,-0.15105,600.0,47.352
146,4.8939,Twilight 19:00,3.0,1,-0.88267,-0.10416,2.77041,0.77041,-0.88267,-1.10416,3.13996,-0.00077,0.02002,576.0,47.412
147,4.9274,Twilight 19:00,3.0,1,-0.86391,-0.11596,2.71076,0.71076,-0.86391,-1.11596,-3.0809,-0.03223,0.08635,588.0,47.41
148,4.9609,Twilight 19:00,3.0,1,-0.84854,-0.12806,2.66208,0.66208,-0.84854,-1.12806,3.14892,0.00641,-0.15032,600.0,47.371
149,4.9944,Twilight 19:00,3.0,1,-0.88262,-0.14582,2.77026,0.77026,-0.88262,-1.14582,3.13936,-0.00106,0.01974,576.0,47.439
150,5.0279,Twilight 19:00,3.0,1,-0.8487,-0.1521,2.66258,0.66258,-0.8487,-1.1521,3.15095,0.00758,-0.14973,600.0,47.395
151,5.0615,Twilight 19:00,3.0,1,-0.84882,-0.16814,2.66295,0.66295,-0.84882,-1.16814,3.15229,0.00836,-0.14927,600.0,47.434
152,5.095,Twilight 19:00,3.0,1,-0.88256,-0.18746,2.77006,0.77006,-0.88256,-1.18746,3.1388,-0.00134,0.01937,576.0,47.457
153,5.1285,Twilight 19:00,3.0,1,-0.84902,-0.1922,2.66359,0.66359,-0.84902,-1.1922,3.15429,0.0095,-0.14848,600.0,47.404
154,5.162,Twilight 19:00,3.0,1,-0.88252,-0.21245,2.76992,0.76992,-0.88252,-1.21245,3.13848,-0.0015,0.01912,576.0,47.477
155,5.1955,Twilight 19:00,3.0,1,-0.84925,-0.21629,2.6643,0.6643,-0.84925,-1.21629,3.15626,0.01063,-0.14759,600.0,47.453
156,5.2291,Twilight 19:00,3.0,1,-0.84941,-0.23236,2.66482,0.66482,-0.84941,-1.23236,3.15756,0.01137,-0.14693,600.0,47.443
157,5.2626,Twilight 19:00,3.0,1,-0.88244,-0.25408,2.76967,0.76967,-0.88244,-1.25408,3.13797,-0.00174,0.01865,576.0,47.493
158,5.2961,Twilight 19:00,3.0,1,-0.84967,-0.25647,2.66566,0.66566,-0.84967,-1.25647,3.15948,0.01247,-0.14585,600.0,47.416
159,5.3296,Twilight 19:00,3.0,1,-0.88238,-0.27906,2.7695,0.7695,-0.88238,-1.27906,3.13769,-0.00188,0.01834,576.0,47.488
160,5.3631,Twilight 19:00,3.0,1,-0.88235,-0.2957,2.76938,0.76938,-0.88235,-1.2957,3.13751,-0.00197,0.01812,576.0,47.493
161,5.3966,Twilight 19:00,3.0,1,-0.85016,-0.29672,2.66722,0.66722,-0.85016,-1.29672,3.16261,0.01423,-0.14382,600.0,47.441
162,5.4302,Twilight 19:00,3.0,1,-0.88229,-0.32067,2.7692,0.7692,-0.88229,-1.32067,3.13726,-0.0021,0.01778,576.0,47.509
